line;code;canonical name;category;type;family code;family;sortkey?;autodetect?;exceptional?;script codes;other names;standard characters
2306;goa;Guro;Guro language;regular;dmn-mda;Mano-Dan;;;;Latn;;
2307;gob;Playero;Playero language;regular;sai-guh;Guahiban;;;;;;
2308;goc;Gorakor;Gorakor language;regular;poz-ocw;Western Oceanic;;;;Latn;;
2309;god;Godié;Godié language;regular;kro-bet;Bété;;;;;;
2310;goe;Gongduk;Gongduk language;regular;sit;Sino-Tibetan;;;;;;
2311;gof;Gofa;Gofa language;regular;omv-nom;North Ometo;;;;Latn,Ethi;;
2312;gog;Gogo;Gogo language;regular;bnt-ruv;Ruvu;;;;Latn;;
2313;goh;Old High German;Old High German language;regular;gmw-hgm;High German;;autodetect;;Latn,Runr;;
2314;goi;Gobasi;Gobasi language;regular;ngf;Trans-New Guinea;;;;Latn;Gobosi,Gebusi,Bibo,Nomad;
2315;goj;Gowlan;Gowlan language;regular;inc-sou;Southern Indo-Aryan;;;;;;
2316;gol;Gola;Gola language;regular;alv;Atlantic-Congo;;;;;;
2317;gon;Gondi;Gondi language;regular;dra-gon;Gondi;;;;Telu,Gonm,Gong;;
2318;goo;Gone Dau;Gone Dau language;regular;poz-pcc;Central Pacific;;;;Latn;;
2319;gop;Yeretuar;Yeretuar language;regular;poz-hce;Halmahera-Cenderawasih;;;;Latn;;
2320;goq;Gorap;Gorap language;regular;crp;creole or pidgin;;;;;;
2321;gor;Gorontalo;Gorontalo language;regular;phi;Philippine;;;;Latn;;
2322;got;Gothic;Gothic language;regular;gme;East Germanic;;autodetect;;Goth,Runr,Latn;;
2323;gou;Gavar;Gavar language;regular;cdc-cbm;Central Chadic;;;;;;
2324;gov;Goo;Goo language;regular;dmn;Mande;;;;Latn;;
2325;gow;Gorowa;Gorowa language;regular;cus-sou;South Cushitic;;;;;;
2326;gox;Gobu;Gobu language;regular;bad-cnt;Central Banda;;;;;;
2327;goy;Goundo;Goundo language;regular;alv-kim;Kim;;;;;;
2328;goz;Gozarkhani;Gozarkhani language;regular;xme-ttc;Tatic;;;;;;
2329;gpa;Gupa-Abawa;Gupa-Abawa language;regular;alv-ngb;Nupe-Gbagyi;;;;;;
2330;gpn;Taiap;Taiap language;regular;paa;Papuan;;;;;Tayap,Gapun;
2331;gqa;Ga'anda;Ga'anda language;regular;cdc-cbm;Central Chadic;;;;Latn;;
2332;gqi;Guiqiong;Guiqiong language;regular;sit-qia;Qiangic;;;;;;
2333;gqn;Kinikinao;Kinikinao language;regular;awd;Arawakan;;;;;Guana,Guaná,Guana (Brazil),Arawakan Guana;
2334;gqr;Gor;Gor language;regular;csu-sar;Sara;;;;;;
2335;gqu;Qau;Qau language;regular;qfa-gel;Gelao;;;;;Gao,Aqao,Qau Gelao;
