line;code;canonical name;category;type;family code;family;sortkey?;autodetect?;exceptional?;script codes;other names;standard characters
4306;mnq;Minriq;Minriq language;regular;mkh-asl;Aslian;;;;;;
4307;mnr;Mono (California);Mono (California) language;regular;azc-num;Numic;;;;Latn;Mono (United States of America),Mono,Western Mono,Monache,Monachi,Owens Valley Paiute,Eastern Mono;
4308;mns-cen;Central Mansi;Central Mansi language;regular;mns;Mansi;;;exceptional;Cyrl;;
4309;mns-nor;Northern Mansi;Northern Mansi language;regular;mns;Mansi;;;exceptional;Cyrl;;
4310;mns-pro;Proto-Mansi;Proto-Mansi language;reconstructed;mns;Mansi;;;exceptional;Latn;;
4311;mns-sou;Southern Mansi;Southern Mansi language;regular;mns;Mansi;;;exceptional;Cyrl;;
4312;mnt;Maykulan;Maykulan language;regular;aus-pam;Pama-Nyungan;;;;Latn;Mayi-Kulan,Wunumara,Mayi-Yapi,Mayi-Thakurti;
4313;mnu;Mer;Mer language;regular;;;;;;;
4314;mnv;Rennellese;Rennellese language;regular;poz-pnp;Nuclear Polynesian;;;;Latn;Rennell-Bellona;
4315;mnw;Mon;Mon language;regular;mkh-mnc;Monic;sortkey;;;Mymr;;
4316;mnw-tha;Thai Mon;Thai Mon language;regular;mkh-mnc;Monic;sortkey;;exceptional;Mymr,Thai;;
4317;mnx;Manikion;Manikion language;regular;paa-wpa;West Papuan;;;;;Mantion,Sougb,Sogh;
4318;mny;Manyawa;Manyawa language;regular;bnt-mak;Makua;;;;;;
4319;mnz;Moni;Moni language;regular;;;;;;;
4320;moa;Mwan;Mwan language;regular;dmn-nbe;Nwa-Beng;;;;Latn;;
4321;moc;Mocoví;Mocoví language;regular;sai-guc;Guaicuruan;;;;Latn;Mbocobí,Mokoví,Moqoyt;
4322;mod;Mobilian;Mobilian language;regular;crp;creole or pidgin;;;;Latn;;
4323;moe;Montagnais;Montagnais language;regular;alg;Algonquian;;autodetect;;Latn;;
4324;mog;Mongondow;Mongondow language;regular;phi;Philippine;;;;Latn;;
4325;moh;Mohawk;Mohawk language;regular;iro-nor;North Iroquoian;;;;Latn;;
4326;moi;Mboi;Mboi language;regular;alv-yun;Yungur;;;;;;
4327;moj;Monzombo;Monzombo language;regular;nic-nkk;Kpala;;;;Latn;;
4328;mok;Morori;Morori language;regular;;;;;;;
4329;mom;Monimbo;Monimbo language;regular;;;;;;;
4330;moo;Monom;Monom language;regular;mkh-ban;Bahnaric;;;;;Monam,Bonam;
4331;mop;Mopan Maya;Mopan Maya language;regular;myn;Mayan;;;;Latn;Mopan,Mopán Maya,Mopán;
4332;moq;Mor (Papuan);Mor (Papuan) language;regular;paa;Papuan;;;;;Mor,Papuan Mor;
4333;mor;Moro;Moro language;regular;alv-hei;Heiban;;;;;;
4334;mos;Moore;Moore language;regular;nic-mre;Moré;;;;Latn;More,Mossi,Moshi,Mõõré,Mòoré,Mooré,Moré,Möré;
4335;mot;Barí;Barí language;regular;cba;Chibchan;;;;Latn;Bari,Baria,Barira,Motilón,Motilon,Motilone;
4336;mou;Mogum;Mogum language;regular;cdc-est;East Chadic;;;;Latn;;
4337;mov;Mojave;Mojave language;regular;nai-yuc;Yuman-Cochimí;;;;Latn;;
4338;mow;Moi (Congo);Moi (Congo) language;regular;bnt-bmo;Bangi-Moi;;;;Latn;Moi;
4339;mox;Molima;Molima language;regular;poz-ocw;Western Oceanic;;;;Latn;;
4340;moy;Shekkacho;Shekkacho language;regular;omv-gon;Gonga;;;;;;
4341;moz;Mukulu;Mukulu language;regular;cdc-est;East Chadic;;;;;;
4342;mpa;Mpoto;Mpoto language;regular;bnt-mbi;Mbinga;;;;;;
4343;mpb;Mullukmulluk;Mullukmulluk language;regular;;;;;;;
4344;mpc;Mangarayi;Mangarayi language;regular;;;;;;;
4345;mpd;Machinere;Machinere language;regular;awd;Arawakan;;;;Latn;;
4346;mpe;Majang;Majang language;regular;sdv;Eastern Sudanic;;;;;;
4347;mpg;Marba;Marba language;regular;cdc-mas;Masa;;;;;;
4348;mph;Maung;Maung language;regular;aus-wdj;Iwaidjan;;;;Latn;;
4349;mpi;Mpade;Mpade language;regular;cdc-cbm;Central Chadic;;;;Latn;;
4350;mpj;Martu Wangka;Martu Wangka language;regular;aus-pam;Pama-Nyungan;;;;Latn;Yulparija,Yulparitja;
4351;mpk;Mbara (Chad);Mbara (Chad) language;regular;cdc-cbm;Central Chadic;;;;;Mbara;
4352;mpl;Middle Watut;Middle Watut language;regular;poz-ocw;Western Oceanic;;;;Latn;;
4353;mpm;Yosondúa Mixtec;Yosondúa Mixtec language;regular;omq-mxt;Mixtec;;;;Latn;;
4354;mpn;Mindiri;Mindiri language;regular;poz-ocw;Western Oceanic;;;;Latn;;
4355;mpo;Miu;Miu language;regular;poz-ocw;Western Oceanic;;;;Latn;;
4356;mpp;Migabac;Migabac language;regular;;;;;;;
4357;mpq;Matís;Matís language;regular;sai-pan;Panoan;;;;Latn;;
4358;mpr;Vangunu;Vangunu language;regular;poz-ocw;Western Oceanic;;;;Latn;;
4359;mps;Dadibi;Dadibi language;regular;ngf;Trans-New Guinea;;;;Latn;Daribi,Karimui;
4360;mpt;Mian;Mian language;regular;ngf-okk;Ok;;;;Latn;;
4361;mpu;Makuráp;Makuráp language;regular;tup;Tupian;;;;Latn;Macurapi,Makurápi,Massaka;
4362;mpv;Mungkip;Mungkip language;regular;ngf-fin;Finisterre;;;;Latn;;
4363;mpw;Mapidian;Mapidian language;regular;awd;Arawakan;;;;Latn;;
4364;mpx;Misima-Paneati;Misima-Paneati language;regular;poz-ocw;Western Oceanic;;;;Latn;;
4365;mpy;Mapia;Mapia language;regular;poz-mic;Micronesian;;;;Latn;;
4366;mpz;Mpi;Mpi language;regular;tbq-bka;Bi-Ka;;;;;;
4367;mqa;Maba;Maba language;regular;;;;;;;
4368;mqb;Mbuko;Mbuko language;regular;cdc-cbm;Central Chadic;;;;Latn;;
4369;mqc;Mangole;Mangole language;regular;poz-cma;Central Maluku;;;;Latn;;
4370;mqe;Matepi;Matepi language;regular;ngf-mad;Madang;;;;;;
4371;mqf;Momuna;Momuna language;regular;;;;;;;
4372;mqg;Kota Bangun Kutai Malay;Kota Bangun Kutai Malay language;regular;;;;;;;
4373;mqh;Tlazoyaltepec Mixtec;Tlazoyaltepec Mixtec language;regular;omq-mxt;Mixtec;;;;Latn;;
4374;mqi;Mariri;Mariri language;regular;;;;;;;
4375;mqj;Mamasa;Mamasa language;regular;poz-ssw;South Sulawesi;;;;Latn;;
4376;mqk;Rajah Kabunsuwan Manobo;Rajah Kabunsuwan Manobo language;regular;mno;Manobo;;;;;;
4377;mql;Mbelime;Mbelime language;regular;nic-eov;Eastern Oti-Volta;;;;;;
4378;mqm;South Marquesan;South Marquesan language;regular;poz-pep;Eastern Polynesian;;;;Latn;;
4379;mqn;Moronene;Moronene language;regular;poz-btk;Bungku-Tolaki;;;;Latn;;
4380;mqo;Modole;Modole language;regular;paa-nha;North Halmahera;;;;;;
4381;mqp;Manipa;Manipa language;regular;poz-cma;Central Maluku;;;;Latn;;
4382;mqq;Minokok;Minokok language;regular;;;;;;;
4383;mqr;Mander;Mander language;regular;paa-tkw;Tor-Kwerba;;;;;;
4384;mqs;West Makian;West Makian language;regular;paa-nha;North Halmahera;;;;;;
4385;mqt;Mok;Mok language;regular;mkh-pal;Palaungic;;;;;;
4386;mqu;Mandari;Mandari language;regular;sdv-bri;Bari;;;;;;
4387;mqv;Mosimo;Mosimo language;regular;ngf-mad;Madang;;;;Latn;;
4388;mqw;Murupi;Murupi language;regular;ngf-mad;Madang;;;;Latn;;
4389;mqx;Mamuju;Mamuju language;regular;poz-ssw;South Sulawesi;;;;Latn;;
4390;mqy;Manggarai;Manggarai language;regular;poz-cet;Central-Eastern Malayo-Polynesian;;;;Latn;;
4391;mqz;Malasanga;Malasanga language;regular;poz-ocw;Western Oceanic;;;;Latn;Pano;
4392;mr;Marathi;Marathi language;regular;inc-sou;Southern Indo-Aryan;;autodetect;;Deva,Modi;;
4393;mra;Mlabri;Mlabri language;regular;mkh;Mon-Khmer;;;;;;
4394;mrb;Sungwadia;Sungwadia language;regular;poz-vnn;North Vanuatu;;;;Latn;;
4395;mrc;Maricopa;Maricopa language;regular;nai-yuc;Yuman-Cochimí;;;;Latn;;
4396;mrd;Western Magar;Western Magar language;regular;sit-gma;Greater Magaric;;;;Deva;;
4397;mre;Martha's Vineyard Sign Language;Martha's Vineyard Sign Language;regular;sgn;sign;;;;Latn,Sgnw;;
4398;mrf;Elseng;Elseng language;regular;paa-brd;Border;;;;;;
4399;mrg;Mising;Mising language;regular;sit-tan;Tani;;;;Latn,Beng,Deva;Mishing,Plains Miri,Takam,Hill Miri,Sarak;
4400;mrh;Mara Chin;Mara Chin language;regular;tbq-kuk;Kukish;;;;Latn;Chin Mara,Lakher,Mara,Maram,Mira,Zao;
4401;mrj;Western Mari;Western Mari language;regular;chm;Mari;sortkey;;;Cyrl;Hill Mari,Mountain Mari,Highland Mari;
4402;mrk;Hmwaveke;Hmwaveke language;regular;poz-cln;New Caledonian;;;;Latn;;
4403;mrl;Mortlockese;Mortlockese language;regular;poz-mic;Micronesian;;;;Latn;;
4404;mrm;Mwerlap;Mwerlap language;regular;poz-vnn;North Vanuatu;;;;Latn;;
4405;mrn;Cheke Holo;Cheke Holo language;regular;poz-ocw;Western Oceanic;;;;Latn;Maringe;
4406;mro;Mru;Mru language;regular;sit-mru;Mruic;;;;Latn,Mroo;;
4407;mrp;Morouas;Morouas language;regular;poz-vnn;North Vanuatu;;;;Latn;;
4408;mrq;North Marquesan;North Marquesan language;regular;poz-pep;Eastern Polynesian;;;;Latn;;
4409;mrr;Hill Maria;Hill Maria language;regular;dra-mdy;Madiya;;;;;Garhchiroli Maria,Madia,Madiya,Maria (India),Maria;
4410;mrs;Maragus;Maragus language;regular;poz-vnc;Central Vanuatu;;;;Latn;;
4411;mrt;Margi;Margi language;regular;cdc-cbm;Central Chadic;;;;Latn;Marghi Central,Marghi;
4412;mru;Mono (Cameroon);Mono (Cameroon) language;regular;alv-mbm;Mbum;;;;Latn;Mono;
4413;mrv;Mangarevan;Mangarevan language;regular;poz-pep;Eastern Polynesian;;;;Latn;;
4414;mrw;Maranao;Maranao language;regular;phi;Philippine;;;;Latn,Arab;;
4415;mrx;Dineor;Dineor language;regular;paa-tkw;Tor-Kwerba;;;;;;
4416;mry;Karaga Mandaya;Karaga Mandaya language;regular;phi;Philippine;;;;;;
4417;mrz;Marind;Marind language;regular;;;;;;;
4418;ms;Malay;Malay language;regular;poz-mly;Malayic;;;;Latn,ms-Arab;;standard characters
4419;msb;Masbatenyo;Masbatenyo language;regular;phi;Philippine;;;;Latn;Masbateño,Masbateno,Minasbate;
4420;msc;Sankaran Maninka;Sankaran Maninka language;regular;dmn-mnk;Maninka;;;;;;
4421;msd;Yucatec Maya Sign Language;Yucatec Maya Sign Language;regular;sgn;sign;;;;Latn;;
4422;mse;Musey;Musey language;regular;cdc-mas;Masa;;;;;;
4423;msf;Mekwei;Mekwei language;regular;paa-nim;Nimboran;;;;Latn;Mekwei (New Guinea),Menggwei;
4424;msg;Moraid;Moraid language;regular;;;;;;;
4425;msi;Sabah Malay;Sabah Malay language;regular;crp;creole or pidgin;;;;;;
4426;msj;Ma;Ma language;regular;nic-mbc;Mba;;;;Latn;Madi;
4427;msk;Mansaka;Mansaka language;regular;phi;Philippine;;;;Latn;;
4428;msl;Molof;Molof language;regular;;;;;;;
4429;msm;Agusan Manobo;Agusan Manobo language;regular;mno;Manobo;;;;Latn;;
4430;msn;Vurës;Vurës language;regular;poz-vnn;North Vanuatu;;;;Latn;;
4431;mso;Mombum;Mombum language;regular;;;;;;;
4432;msp;Maritsauá;Maritsauá language;regular;tup;Tupian;;;;Latn;Manitsawá,Mantizula;
4433;msq;Caac;Caac language;regular;poz-cln;New Caledonian;;;;Latn;;
4434;msr;Mongolian Sign Language;Mongolian Sign Language;regular;sgn;sign;;;;;;
4435;mss;West Masela;West Masela language;regular;poz-tim;Timoric;;;;;;
4436;msu;Musom;Musom language;regular;poz-ocw;Western Oceanic;;;;Latn;;
4437;msv;Maslam;Maslam language;regular;;;;;;;
4438;msw;Mansoanka;Mansoanka language;regular;;;;;;;
4439;msx;Moresada;Moresada language;regular;;;;;;;
4440;msy;Aruamu;Aruamu language;regular;paa;Papuan;;;;Latn;;
4441;msz;Momare;Momare language;regular;;;;;;;
4442;mt;Maltese;Maltese language;regular;sem-arb;Arabic;sortkey;autodetect;;Latn;;
4443;mta;Cotabato Manobo;Cotabato Manobo language;regular;mno;Manobo;;;;;;
4444;mtb;Anyin Morofo;Anyin Morofo language;regular;alv-ctn;Central Tano;;;;Latn;;
4445;mtc;Munit;Munit language;regular;ngf-mad;Madang;;;;;;
4446;mtd;Mualang;Mualang language;regular;poz-mly;Malayic;;;;;;
4447;mte;Alu;Alu language;regular;poz-ocw;Western Oceanic;;;;Latn;Mono,Mono-Alu;
4448;mtf;Murik (New Guinea);Murik (New Guinea) language;regular;paa-lsp;Lower Sepik;;;;Latn;Murik (Papua New Guinea),Murik,Sepik Murik;
4449;mtg;Una;Una language;regular;;;;;;;
4450;mth;Munggui;Munggui language;regular;poz-hce;Halmahera-Cenderawasih;;;;Latn;;
4451;mti;Maiwa (New Guinea);Maiwa (New Guinea) language;regular;ngf;Trans-New Guinea;;;;Latn;Maiwa (Papua New Guinea),Maiwa;
4452;mtj;Moskona;Moskona language;regular;;;;;;;
4453;mtk;Mbe';Mbe' language;regular;nic-nka;Nkambe;;;;Latn;;
4454;mtl;Montol;Montol language;regular;cdc-wst;West Chadic;;;;Latn;;
4455;mtm;Mator;Mator language;regular;syd;Samoyedic;;;;Cyrl;Taygi,Karagas,Mator-Taygi-Karagas;
4456;mtn;Matagalpa;Matagalpa language;regular;nai-min;Misumalpan;;;;;;
4457;mto;Totontepec Mixe;Totontepec Mixe language;regular;nai-miz;Mixe-Zoquean;;;;;;
4458;mtp;Wichí Lhamtés Nocten;Wichí Lhamtés Nocten language;regular;sai-wic;Wichí;;;;Latn;;
4459;mtq;Muong;Muong language;regular;mkh-vie;Vietic;sortkey;;;Latn;;
4460;mtr;Mewari;Mewari language;regular;inc-wes;Western Indo-Aryan;;;;Deva;;
4461;mts;Yora;Yora language;regular;sai-pan;Panoan;;;;Latn;;
4462;mtt;Mota;Mota language;regular;poz-vnn;North Vanuatu;;;;Latn;;
4463;mtu;Tututepec Mixtec;Tututepec Mixtec language;regular;omq-mxt;Mixtec;;;;Latn;;
4464;mtv;Asaro'o;Asaro'o language;regular;ngf-fin;Finisterre;;;;Latn;Molet,Molet Kasu,Molet Mur;
4465;mtw;Magahat;Magahat language;regular;phi;Philippine;;;;;;
4466;mtx;Tidaá Mixtec;Tidaá Mixtec language;regular;omq-mxt;Mixtec;;;;Latn;;
4467;mty;Nabi;Nabi language;regular;qfa-tor;Torricelli;;;;Latn;;
4468;mua;Mundang;Mundang language;regular;alv-mbm;Mbum;;;;;;
4469;mub;Mubi;Mubi language;regular;cdc-est;East Chadic;;;;Latn;;
4470;muc;Mbu';Mbu' language;regular;nic-beb;Beboid;;;;Latn;;
4471;mud;Mednyj Aleut;Mednyj Aleut language;regular;qfa-mix;mixed;;;;;;
4472;mue;Media Lengua;Media Lengua language;regular;qfa-mix;mixed;;;;Latn;;
4473;mug;Musgu;Musgu language;regular;cdc-cbm;Central Chadic;;;;Latn;;
4474;muh;Mündü;Mündü language;regular;nic-nke;Eastern Ngbaka;;;;Latn;Mundu;
4475;mui;Musi;Musi language;regular;poz-mly;Malayic;;;;Latn;Palembang Malay,Basa Pelembang Sari-sari,Sekayu;
4476;muj;Mabire;Mabire language;regular;;;;;;;
4477;mul;Translingual;Translingual language;regular;qfa-not;not a family;sortkey;;;Adlm,Afak,Aghb,Ahom,Arab,Armi,Armn,Avst,Bali,Bamu,Bass,Batk,Beng,Bhks,Blis,Bopo,Brah,Brai,Bugi,Buhd,Cakm,Cans,Cari,Cham,Cher,Chis,Chrs,Copt,Cpmn,Cprt,Cyrl,Cyrs,Deva,Diak,Dogr,Dsrt,Dupl,Egyd,Egyh,Egyp,Elba,Elym,Ethi,Gara,Geok,Geor,Glag,Gong,Gonm,Goth,Gran,Grek,Gujr,Gukh,Guru,Hang,Hani,Hano,Hans,Hant,Hatr,Hebr,Hira,Hluw,Hmng,Hmnp,Hrkt,Hung,Ibrnn,Ibrns,Image,Inds,Ipach,Ital,Java,Jpan,Jurc,Kali,Kana,Kawi,Khar,Khmr,Khoj,Kitl,Kits,Knda,Kore,Kpel,Krai,Kthi,Lana,Laoo,Latf,Latg,Latn,Leke,Lepc,Limb,Lina,Linb,Lisu,Loma,Lyci,Lydi,Mahj,Maka,Mand,Mani,Marc,Maya,Medf,Mend,Merc,Mero,Mlym,Modi,Mong,Moon,Morse,Mroo,Mtei,Mult,Music,Mymr,Nagm,Nand,Narb,Nbat,Newa,Nkdb,Nkgb,Nkoo,None,Nshu,Ogam,Olck,Onao,Orkh,Orya,Osge,Osma,Ougr,Palm,Pauc,Perm,Phag,Phli,Phlp,Phlv,Phnx,Plrd,Polyt,Prti,Ranj,Rjng,Rohg,Roro,Rumin,Runr,Samr,Sarb,Saur,Semap,Sgnw,Shaw,Shrd,Shui,Sidd,Sidt,Sind,Sinh,Sogd,Sogo,Sora,Soyo,Sund,Sunu,Sylo,Syrc,Tagb,Takr,Tale,Talu,Taml,Tang,Tavt,Tayo,Telu,Teng,Tfng,Tglg,Thaa,Thai,Tibt,Tirh,Tnsa,Todr,Tols,Toto,Tutg,Ugar,Vaii,Visp,Vith,Wara,Wcho,Wole,Xpeo,Xsux,Yezi,Yiii,Zanb,Zmth,Zsym,Zyyy,Zzzz,as-Beng,fa-Arab,kk-Arab,ks-Arab,ku-Arab,mnc-Mong,ms-Arab,mzn-Arab,ota-Arab,pa-Arab,pal-Avst,pjt-Latn,ps-Arab,sd-Arab,sit-tam-Tibt,sjo-Mong,tt-Arab,ug-Arab,ur-Arab,xwo-Mong;;standard characters
4478;mum;Maiwala;Maiwala language;regular;poz-ocw;Western Oceanic;;;;Latn;;
4479;mun-pro;Proto-Munda;Proto-Munda language;reconstructed;mun;Munda;;;exceptional;Latn;;
4480;muo;Nyong;Nyong language;regular;alv-lek;Leko;;;;;;
4481;mup;Malvi;Malvi language;regular;inc-wes;Western Indo-Aryan;;;;Deva;;
4482;muq;Eastern Xiangxi Miao;Eastern Xiangxi Miao language;regular;hmn;Hmong;;;;;;
4483;mur;Murle;Murle language;regular;sdv;Eastern Sudanic;;;;;;
4484;mus;Creek;Creek language;regular;nai-mus;Muskogean;;;;Latn;Muscogee;
4485;mut;Western Muria;Western Muria language;regular;dra-mur;Muria;;;;;;
4486;muu;Yaaku;Yaaku language;regular;cus-eas;East Cushitic;;;;;;
4487;muv;Muthuvan;Muthuvan language;regular;dra-tam;Tamiloid;;;;;;
4488;mux;Bo-Ung;Bo-Ung language;regular;;;;;;;
4489;muy;Muyang;Muyang language;regular;cdc-cbm;Central Chadic;;;;Latn;;
4490;muz;Mursi;Mursi language;regular;sdv;Eastern Sudanic;;;;;;
4491;mva;Manam;Manam language;regular;poz-ocw;Western Oceanic;;;;Latn;;
4492;mvb;Mattole;Mattole language;regular;ath-pco;Pacific Coast Athabaskan;;;;Latn;;
4493;mvd;Mamboru;Mamboru language;regular;poz;Malayo-Polynesian;;;;;;
4494;mvg;Yucuañe Mixtec;Yucuañe Mixtec language;regular;omq-mxt;Mixtec;;;;Latn;;
4495;mvh;Mire;Mire language;regular;;;;;;;
4496;mvi;Miyako;Miyako language;regular;jpx-ryu;Ryukyuan;sortkey;;;Jpan;;
4497;mvk;Mekmek;Mekmek language;regular;paa-yua;Yuat;;;;;;
4498;mvl;Mbara (Australia);Mbara (Australia) language;regular;aus-pam;Pama-Nyungan;;;;;Mbara,Midjamba;
4499;mvm;Muya;Muya language;regular;sit-qia;Qiangic;;;;;;
4500;mvn;Minaveha;Minaveha language;regular;poz-ocw;Western Oceanic;;;;Latn;;
4501;mvo;Marovo;Marovo language;regular;poz-ocw;Western Oceanic;;;;Latn;;
4502;mvp;Duri;Duri language;regular;poz-ssw;South Sulawesi;;;;;;
4503;mvq;Moere;Moere language;regular;ngf-mad;Madang;;;;;;
4504;mvr;Marau;Marau language;regular;poz-hce;Halmahera-Cenderawasih;;;;Latn;;
4505;mvs;Massep;Massep language;regular;paa-tkw;Tor-Kwerba;;;;;;
4506;mvt;Mpotovoro;Mpotovoro language;regular;poz-vnc;Central Vanuatu;;;;Latn;;
4507;mvu;Marfa;Marfa language;regular;;;;;;;
4508;mvv;Tagal Murut;Tagal Murut language;regular;poz-san;Sabahan;;;;Latn;;
4509;mvw;Machinga;Machinga language;regular;bnt-rvm;Ruvuma;;;;;;
4510;mvx;Meoswar;Meoswar language;regular;poz-hce;Halmahera-Cenderawasih;;;;Latn;;
4511;mvy;Indus Kohistani;Indus Kohistani language;regular;inc-koh;Kohistani;;;;;;
4512;mvz;Mesqan;Mesqan language;regular;sem-eth;Ethiopian Semitic;;;;;;
4513;mwa;Mwatebu;Mwatebu language;regular;poz-ocw;Western Oceanic;;;;Latn;;
4514;mwb;Juwal;Juwal language;regular;qfa-tor;Torricelli;;;;Latn;;
4515;mwc;Are;Are language;regular;poz-ocw;Western Oceanic;;;;Latn;;
4516;mwe;Mwera;Mwera language;regular;bnt-rvm;Ruvuma;;;;Latn;;
4517;mwf;Murrinh-Patha;Murrinh-Patha language;regular;aus-dal;Daly;;;;Latn;;
4518;mwg;Aiklep;Aiklep language;regular;poz-ocw;Western Oceanic;;;;Latn;;
4519;mwh;Mouk-Aria;Mouk-Aria language;regular;poz-ocw;Western Oceanic;;;;Latn;;
4520;mwi;Labo;Labo language;regular;poz-vnc;Central Vanuatu;;;;Latn;;
4521;mwk;Kita Maninkakan;Kita Maninkakan language;regular;dmn-wmn;West Manding;;;;;;
4522;mwl;Mirandese;Mirandese language;regular;roa-ibe;West Iberian;;;;Latn;;
4523;mwm;Sar;Sar language;regular;csu-sar;Sara;;;;;;
4524;mwn;Nyamwanga;Nyamwanga language;regular;bnt-mwi;Mwika;;;;;;
4525;mwo;Sungwadaga;Sungwadaga language;regular;poz-vnn;North Vanuatu;;;;Latn;;
4526;mwp;Kala Lagaw Ya;Kala Lagaw Ya language;regular;aus-pam;Pama-Nyungan;;;;Latn;;
4527;mwq;Mün Chin;Mün Chin language;regular;tbq-kuk;Kukish;;;;;Mün,Müün Chin;
4528;mwr;Marwari;Marwari language;regular;inc-wes;Western Indo-Aryan;;;;Deva,Mahj;Merwari,Dhundari,Shekhawati,Harauti,Goaria,Gurgula;
4529;mws;Mwimbi-Muthambi;Mwimbi-Muthambi language;regular;bnt-kka;Kikuyu-Kamba;;;;Latn;;
4530;mwt;Moken;Moken language;regular;poz;Malayo-Polynesian;;;;;;
4531;mwu;Mittu;Mittu language;regular;csu-bbk;Bongo-Baka;;;;Latn;;
4532;mwv;Mentawai;Mentawai language;regular;poz-nws;Northwest Sumatran;;;;Latn;;
4533;mww;White Hmong;White Hmong language;regular;hmn;Hmong;;;;Latn,Hmng,Hmnp;;
4534;mwz;Moingi;Moingi language;regular;;;;;;;
4535;mxa;Northwest Oaxaca Mixtec;Northwest Oaxaca Mixtec language;regular;omq-mxt;Mixtec;;;;Latn;;
4536;mxb;Tezoatlán Mixtec;Tezoatlán Mixtec language;regular;omq-mxt;Mixtec;;;;Latn;;
4537;mxd;Modang;Modang language;regular;poz;Malayo-Polynesian;;;;;;
4538;mxe;Mele-Fila;Mele-Fila language;regular;poz-pnp;Nuclear Polynesian;;;;Latn;;
4539;mxf;Malgbe;Malgbe language;regular;;;;;;;
4540;mxg;Mbangala;Mbangala language;regular;bnt-yak;Yaka;;;;;;
4541;mxh;Mvuba;Mvuba language;regular;csu-mle;Mangbutu-Lese;;;;Latn;;
4542;mxi;Mozarabic;Mozarabic language;regular;roa-ibe;West Iberian;;;;Arab,Hebr,Latn;;
4543;mxj;Miju;Miju language;regular;sit-mdz;Midzu;;;;Latn,Deva;Miju Mishmi,Miju-Mishmi,Geman Deng,Geman,Kaman,Kman,Midzu;
4544;mxk;Monumbo;Monumbo language;regular;qfa-tor;Torricelli;;;;;;
4545;mxl;Maxi Gbe;Maxi Gbe language;regular;alv-gbe;Gbe;;;;;;
4546;mxm;Meramera;Meramera language;regular;poz-ocw;Western Oceanic;;;;Latn;;
4547;mxn;Moi (Indonesia);Moi (Indonesia) language;regular;paa;Papuan;;;;;Moi,Mekwei;
4548;mxo;Mbowe;Mbowe language;regular;bnt-kav;Kavango;;;;;;
4549;mxp;Tlahuitoltepec Mixe;Tlahuitoltepec Mixe language;regular;;;;;;;
4550;mxq;Juquila Mixe;Juquila Mixe language;regular;;;;;;;
4551;mxr;Murik (Malaysia);Murik (Malaysia) language;regular;;;;;Latn;Murik,Kayan Murik;
4552;mxs;Huitepec Mixtec;Huitepec Mixtec language;regular;omq-mxt;Mixtec;;;;Latn;;
4553;mxt;Jamiltepec Mixtec;Jamiltepec Mixtec language;regular;omq-mxt;Mixtec;;;;Latn;;
4554;mxu;Mada (Cameroon);Mada (Cameroon) language;regular;cdc-cbm;Central Chadic;;;;Latn;Mada;
4555;mxv;Metlatónoc Mixtec;Metlatónoc Mixtec language;regular;omq-mxt;Mixtec;;;;Latn;;
4556;mxw;Namo;Namo language;regular;;;;;;;
4557;mxx;Mahou;Mahou language;regular;dmn-mnk;Maninka;;;;;Mawukakan,Mahu,Maou,Mau,Mawu;
4558;mxy;Southeastern Nochixtlán Mixtec;Southeastern Nochixtlán Mixtec language;regular;omq-mxt;Mixtec;;;;Latn;;
4559;mxz;Central Masela;Central Masela language;regular;poz-tim;Timoric;;;;;;
4560;my;Burmese;Burmese language;regular;tbq-brm;Burmish;sortkey;;;Mymr;;
4561;myb;Mbay;Mbay language;regular;csu-sar;Sara;;;;;;
4562;myc;Mayeka;Mayeka language;regular;bnt-boa;Boan;;;;;;
4563;mye;Myene;Myene language;regular;bnt-tso;Tsogo;;;;;;
4564;myf;Bambassi;Bambassi language;regular;omv-mao;Mao;;;;;;
4565;myg;Manta;Manta language;regular;nic-mom;Momo;;;;Latn;;
4566;myh;Makah;Makah language;regular;wak;Wakashan;;;;Latn;;
4567;myj;Mangayat;Mangayat language;regular;nic-ser;Sere;;;;;;
4568;myk;Mamara Senoufo;Mamara Senoufo language;regular;alv-sma;Suppire-Mamara;;;;;;
4569;myl;Moma;Moma language;regular;poz;Malayo-Polynesian;;;;;;
4570;mym;Me'en;Me'en language;regular;sdv;Eastern Sudanic;;;;;;
4571;myn-chl;Ch'olti';Ch'olti' language;regular;myn;Mayan;;;exceptional;Latn;Cholti,Colonial Ch'olti',Colonial Cholti;
4572;myn-pro;Proto-Mayan;Proto-Mayan language;reconstructed;myn;Mayan;;;exceptional;Latn;;
4573;myo;Anfillo;Anfillo language;regular;omv-gon;Gonga;;;;;;
4574;myp;Pirahã;Pirahã language;regular;sai-mur;Muran;;;;Latn;;
4575;myr;Muniche;Muniche language;regular;;;;;;;
4576;mys;Mesmes;Mesmes language;regular;sem-eth;Ethiopian Semitic;;;;;;
4577;myu;Mundurukú;Mundurukú language;regular;tup;Tupian;;;;Latn;;
4578;myv;Erzya;Erzya language;regular;urj-mdv;Mordvinic;;;;Cyrl;;
4579;myw;Muyuw;Muyuw language;regular;poz-ocw;Western Oceanic;;;;Latn;;
4580;myx;Masaba;Masaba language;regular;bnt-msl;Masaba-Luhya;;;;Latn;Masaaba;
4581;myy;Macuna;Macuna language;regular;sai-tuc;Tucanoan;;;;Latn;Buhagana,Bujagana,Wahana;
4582;myz;Classical Mandaic;Classical Mandaic language;regular;sem-ase;Southeastern Aramaic;;;;Mand;;
